n_components,smiles_1,smiles_2,ratio_1,ratio_2,tg
2,C=CC(=O)OCCCCCC,C=CC(=O)OCCCCCC,0.5,0.5,216.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC1(C)CC(N)CC(C)(CN)C1,0.666667,0.333333,428.0
2,Oc1ccc(-c2ccc(O)cc2)cc1,O=S(=O)(c1ccc(Br)cc1)c1ccc(Br)cc1,0.5,0.5,493.0
2,O=C(Cl)Cl,CC(C)C(c1ccc(O)cc1)c1ccc(O)cc1,0.5,0.5,422.0
2,C=C(C)C(=O)OCC(C)O,C=C(C)C(=O)OCC(C)O,0.5,0.5,349.0
2,Oc1cccc(O)c1,Oc1cccc(O)c1,0.5,0.5,318.0
2,C=C(C#N)C(=O)OC,C=C(C#N)C(=O)OC,0.5,0.5,433.0
2,C=Cc1ccc(C(C)C)cc1,C=Cc1ccc(C(C)C)cc1,0.5,0.5,360.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.666667,0.333333,328.0
2,C=Cc1ccc(Cl)c(Cl)c1Cl,C=Cc1cc(Cl)c(Cl)c(Cl)c1,0.5,0.5,418.0
2,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,O=S(=O)(c1ccc(Br)cc1)c1ccc(Br)cc1,0.5,0.5,458.0
2,C=C(C)C(=O)Oc1ccccc1,C=C(C)C(=O)Oc1ccccc1,0.5,0.5,393.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Cc1cc(Cc2cc(C)c(N)c(C)c2)cc(C)c1N,0.666667,0.333333,438.0
2,C=Cc1ccc(OCCC(C)C)cc1,C=Cc1ccc(OCCC(C)C)cc1,0.5,0.5,330.0
2,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,O=C(C(=O)c1ccc(C(=O)C(=O)c2ccccc2)cc1)c1ccccc1,0.5,0.5,645.0
2,C=COC(C)CC,C=COC(C)CC,0.5,0.5,253.0
2,C=CC(F)(F)C(F)(F)C(F)(F)F,C=CC(F)(F)C(F)(F)C(F)(F)F,0.5,0.5,331.0
2,Cc1ccc([Si]2(c3ccc(C)cc3)CCC2)cc1,Cc1ccc([Si]2(c3ccc(C)cc3)CCC2)cc1,0.5,0.5,311.0
2,Nc1cccc(C(=O)c2cccc(N)c2)c1,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,0.5,0.5,513.0
2,C=CC(=O)OCCCCCCC,C=CC(=O)OCCCCCCC,0.5,0.5,213.0
2,C=Cc1cc(Cl)ccc1Cl,C=Cc1cc(Cl)ccc1Cl,0.5,0.5,393.0
2,C=Cc1c(F)c(F)c(F)c(F)c1F,C=Cc1c(F)c(F)c(F)c(F)c1F,0.5,0.5,378.0
2,C=C(C)C(=O)OCCO,C=C(C)C(=O)OCCO,0.5,0.5,359.0
2,C=C(C)C(=O)OCCOC,C=C(C)C(=O)OCCOC,0.5,0.5,293.0
2,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,c1cc(OCC2CO2)cc(OCC2CO2)c1,0.333333,0.666667,429.0
2,C[Si](C1CCCCC1)=[Si](C)C1CCCCC1,C[Si](C1CCCCC1)=[Si](C)C1CCCCC1,0.5,0.5,366.0
2,Nc1cccc(C(=O)c2cccc(N)c2)c1,O=C1OC(=O)c2cc(Oc3ccc(Sc4ccc(Oc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,0.5,0.5,473.0
2,C[Si]1(c2ccccc2)CCC1,C[Si]1(c2ccccc2)CCC1,0.5,0.5,243.0
2,Oc1cccc([Si](O)(c2ccccc2)c2ccccc2)c1,Oc1cccc([Si](O)(c2ccccc2)c2ccccc2)c1,0.5,0.5,331.0
2,C=c1ccc(=C)cc1,C=c1ccc(=C)cc1,0.5,0.5,333.0
2,C=COC(=O)CC,C=COC(=O)CC,0.5,0.5,283.0
2,NCCNCCN,c1cc(OCC2CO2)ccc1OCC1CO1,0.285714,0.714286,375.0
2,C=Cc1ccccc1CO,C=Cc1ccccc1CO,0.5,0.5,433.0
2,O=C(O)c1ccc(OCCO)cc1,O=C(O)c1ccc(OCCO)cc1,0.5,0.5,355.0
2,C=CC(=O)OC,C=CC(=O)OC,0.5,0.5,281.0
2,C=CCC,C=CCC,0.5,0.5,228.0
2,C=COC(=O)CCC,C=COC(=O)CCC,0.5,0.5,278.0
2,C=Cc1cc(C)cc(C)c1,C=Cc1cc(C)cc(C)c1,0.5,0.5,377.0
2,Nc1ccc(Oc2ccc(N)cc2)cc1,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,0.5,0.5,672.0
2,CC1CS1,CC1CS1,0.5,0.5,226.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,NCCCCCCCCCCCCN,0.666667,0.333333,368.0
2,C=CC(F)(F)C(F)(F)F,C=CC(F)(F)C(F)(F)F,0.5,0.5,314.0
2,C=C(Cl)C(=O)OC(C)C,C=C(Cl)C(=O)OC(C)C,0.5,0.5,363.0
2,C=CCl,C=CCl,0.5,0.5,348.0
2,C=COCCCCCC,C=COCCCCCC,0.5,0.5,209.0
2,C=COCCCCCCCCCC,C=COCCCCCCCCCC,0.5,0.5,197.0
2,C=CC(C)C,C=CC(C)C,0.5,0.5,323.0
2,CC(C)(c1ccc(O)cc1)c1cc(Cl)c(OC(=O)O)c(Cl)c1,CC(C)(c1ccc(O)cc1)c1cc(Cl)c(OC(=O)O)c(Cl)c1,0.5,0.5,459.0
2,NCCCCCCCCC(=O)O,NCCCCCCCCC(=O)O,0.5,0.5,324.0
2,O=C(Cl)Cl,Oc1ccc(Sc2ccc(O)cc2)cc1,0.5,0.5,388.0
2,C=Cc1ccc(COCCCCCC)cc1,C=Cc1ccc(COCCCCCC)cc1,0.5,0.5,278.0
2,C=Cc1cccc(Cl)c1,C=Cc1cccc(Cl)c1,0.5,0.5,363.0
2,O=CC(=O)c1ccc(C(=O)C=O)cc1,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,0.5,0.5,649.0
2,Nc1cccc(N)c1,CC(C)(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,0.5,0.5,493.0
2,C=CC(=O)O,C=CC(=O)O,0.5,0.5,379.0
2,C=Cc1ccc(CCCC)cc1,C=Cc1ccc(CCCC)cc1,0.5,0.5,279.0
2,C=c1ccc(=C)c(C)c1,C=c1ccc(=C)c(C)c1,0.5,0.5,328.0
2,C=CC(=O)OCC,C=CC(=O)OCC,0.5,0.5,251.0
2,OCCCO,O=C(O)c1ccc(C(=O)O)c2ccccc12,0.5,0.5,337.0
2,C=Cc1cc(C)ccc1F,C=Cc1cc(C)ccc1F,0.5,0.5,384.0
2,c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,Nc1ccc(N)cc1,0.5,0.5,507.0
2,CC(=O)c1ccc(C(C)=O)cc1,Nc1ccc(Oc2ccc(N)c(C(=O)c3ccccc3)c2)cc1C(=O)c1ccccc1,0.5,0.5,573.0
2,Nc1ccc(C(=O)c2ccc(N)cc2)cc1,O=C1OC(=O)c2cc(Oc3ccc(Sc4ccc(Oc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,0.5,0.5,494.0
2,FC(F)=C(F)c1ccccc1,FC(F)=C(F)c1ccccc1,0.5,0.5,475.0
2,C=Cc1ccc(F)cc1,C=Cc1ccc(F)cc1,0.5,0.5,379.0
2,C=Cc1cccc2ccccc12,C=Cc1cccc2ccccc12,0.5,0.5,432.0
2,Nc1ccc(C(=O)c2cccc(N)c2)cc1,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,0.5,0.5,561.0
2,Nc1ccc(Cc2ccc(N)cc2)cc1,c1cc(OCC2CO2)ccc1OCC1CO1,0.333333,0.666667,408.0
2,C=CCC(C)C,C=CCC(C)C,0.5,0.5,302.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,NCCNCCNCCNCCN,0.777778,0.222222,399.0
2,Cc1cccc(C)c1O,Cc1cccc(C)c1O,0.5,0.5,482.0
2,C=CC(=O)OC(F)(F)F,C=CC(=O)OC(F)(F)F,0.5,0.5,319.0
2,C=CCCCCC,C=CCCCCC,0.5,0.5,220.0
2,c1cc(OCC2CO2)ccc1Cc1ccc(OCC2CO2)cc1,Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,0.666667,0.333333,439.0
2,OCCCO,O=C(O)c1cccc2c(C(=O)O)cccc12,0.5,0.5,344.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,NCCCN,0.666667,0.333333,410.0
2,Nc1ccc(-c2ccc(N)c(N)c2)cc1N,O=CC(=O)c1ccc(-c2ccc(-c3ccc(C(=O)C=O)cc3)cc2)cc1,0.5,0.5,578.0
2,Nc1cccc(N)c1,O=C(c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1)c1ccc(Oc2ccc3c(c2)C(=O)OC3=O)cc1,0.5,0.5,512.0
2,NCCCCCCCCCCC(=O)O,NCCCCCCCCCCC(=O)O,0.5,0.5,315.0
2,C=COCCCC,C=COCCCC,0.5,0.5,221.0
2,C=CC(=O)OC(C)CC,C=CC(=O)OC(C)CC,0.5,0.5,253.0
2,O=C(c1ccc(O)cc1)c1ccc(Oc2ccc(O)cc2)cc1,O=C(c1ccc(O)cc1)c1ccc(Oc2ccc(O)cc2)cc1,0.5,0.5,419.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Nc1ccc(C(=O)OCCCOC(=O)c2ccc(N)cc2)cc1,0.666667,0.333333,453.0
2,C=CO,C=COC(O)C(C)C,0.5,0.5,329.0
2,C=Cc1ccc(C(C)(C)C)cc1,C=Cc1ccc(C(C)(C)C)cc1,0.5,0.5,402.0
2,C=Cc1ccc(OC)cc1,C=Cc1ccc(OC)cc1,0.5,0.5,362.0
2,Nc1cc(N)c(N)cc1N,O=C(C(=O)c1cccc(C(=O)C(=O)c2ccccc2)c1)c1ccccc1,0.5,0.5,668.0
2,C=CC(=O)NCCCC,C=CC(=O)NCCCC,0.5,0.5,319.0
2,Nc1ccc(N)cc1,O=C1OC(=O)c2cc(Oc3ccc4c(c3)C(=O)OC4=O)ccc21,0.5,0.5,615.0
2,NCCCCCCCCCCN,O=C(O)CCCCCCCCC(=O)O,0.5,0.5,319.0
2,CC(C)(c1ccc(CO)cc1)c1ccc(OC(=O)O)c(Cl)c1,CC(C)(c1ccc(CO)cc1)c1ccc(OC(=O)O)c(Cl)c1,0.5,0.5,419.0
2,C=CCC1CCCC1,C=CCC1CCCC1,0.5,0.5,333.0
2,NCCCCCCN,O=C(O)CCCCC(=O)O,0.5,0.5,330.0
2,Nc1ccc(C(=O)c2ccc(N)cc2)cc1,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,0.5,0.5,685.0
2,Nc1ccc(N)cc1,O=C(O)c1ccc(C(=O)O)cc1,0.5,0.5,600.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,0.666667,0.333333,465.0
2,Cc1cc(C(C)(C)c2ccc(OC(=O)c3ccc(C(=O)O)cc3)c(C)c2)ccc1O,Cc1cc(C(C)(C)c2ccc(OC(=O)c3ccc(C(=O)O)cc3)c(C)c2)ccc1O,0.5,0.5,444.0
2,C=CC,C=CC,0.5,0.5,233.0
2,C=Cc1ccc(OCCC)cc1,C=Cc1ccc(OCCC)cc1,0.5,0.5,343.0
2,O=C(Cl)Cl,CCCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0.5,0.5,410.0
2,O=C(Cc1ccccc1)c1ccc(-c2ccc(C(=O)Cc3ccccc3)cc2)cc1,Nc1ccc(Oc2ccc(N)c(C(=O)c3ccccc3)c2)cc1C(=O)c1ccccc1,0.5,0.5,624.0
2,C=COCC(CC)CCCC,C=COCC(CC)CCCC,0.5,0.5,207.0
2,C=CC=C,C=CC=C,0.5,0.5,171.0
2,CC1CCOC(=O)CC1,CC1CCOC(=O)CC1,0.5,0.5,220.0
2,C(CCOCC1CO1)COCC1CO1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.666667,0.333333,350.0
2,C=C(C)C(=O)OCC(C)(C)C,C=C(C)C(=O)OCC(C)(C)C,0.5,0.5,306.0
2,COCC1CO1,COCC1CO1,0.5,0.5,211.0
2,Oc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1,Oc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1,0.5,0.5,493.0
2,CC1CCCC(C)C(=O)O1,CC1CCCC(C)C(=O)O1,0.5,0.5,240.0
2,C=Cc1ccc(C(C)CC)cc1,C=Cc1ccc(C(C)CC)cc1,0.5,0.5,359.0
2,C=CCCC,C=CCCC,0.5,0.5,220.0
2,Nc1ccc(Oc2ccc(N)c(C(=O)c3ccccc3)c2)cc1C(=O)c1ccccc1,O=C(Cc1ccccc1)c1ccc(Oc2ccc(C(=O)Cc3ccccc3)cc2)cc1,0.5,0.5,578.0
2,c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,Nc1ccc(Cc2ccc(N)cc2)cc1,0.5,0.5,505.0
2,C=Cc1ccc(OCC)cc1,C=Cc1ccc(OCC)cc1,0.5,0.5,359.0
2,C[Si](=O)c1ccccc1,C[Si](=O)c1ccccc1,0.5,0.5,187.0
2,C[Si](C)=O,C[Si](C)=O,0.5,0.5,152.0
2,O=C(Cl)Cl,CCC(C)(c1ccc(O)c(Cl)c1)c1ccc(O)c(Cl)c1,0.5,0.5,415.0
2,C=C(Cl)C(=O)OCCCC,C=C(Cl)C(=O)OCCCC,0.5,0.5,330.0
2,C=Cc1ccccn1,C=Cc1ccccn1,0.5,0.5,377.0
2,C=CC=CC,C=CC=CC,0.5,0.5,213.0
2,C=COC(C)=O,C=COC(C)=O,0.5,0.5,301.0
2,c1cc(OCC2CO2)ccc1Cc1ccc(OCC2CO2)cc1,CC(N)COCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)N,0.666667,0.333333,325.0
2,C=Cc1ccccc1CC,C=Cc1ccccc1CC,0.5,0.5,376.0
2,CCCCCCOCC1CO1,CCCCCCOCC1CO1,0.5,0.5,188.0
2,C=Cc1ccc(Cl)cc1C,C=Cc1ccc(Cl)cc1C,0.5,0.5,418.0
2,FC(F)=C(F)F,FC(F)C1(F)C(F)C1(F)F,0.5,0.5,390.0
2,C=Cc1ccccc1C,C=Cc1ccccc1C,0.5,0.5,409.0
2,O=c1oc(=O)c2cc3c(=O)oc(=O)c3cc12,Nc1cccc(Oc2cccc(Oc3cccc(N)c3)c2)c1,0.5,0.5,494.0
2,CN(C)c1ccc([Si]2(C)CCC2)cc1,CN(C)c1ccc([Si]2(C)CCC2)cc1,0.5,0.5,267.0
2,NCCCCCCCCCCCCN,c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1,0.428571,0.571429,386.0
2,C=C(C)c1ccccc1,C=C(C)c1ccccc1,0.5,0.5,409.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,NCCNCCN,0.714286,0.285714,418.0
2,C=Cc1ccc(Br)cc1,C=Cc1ccc(Br)cc1,0.5,0.5,417.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,NCCCCN,0.666667,0.333333,392.0
2,O=C(Cl)Cl,CC(C)(c1c(Br)cc(O)cc1Br)c1c(Br)cc(O)cc1Br,0.5,0.5,523.0
2,CC(=O)c1ccc(-c2ccc(C(C)=O)cc2)cc1,Nc1ccc(Oc2ccc(N)c(C(=O)c3ccccc3)c2)cc1C(=O)c1ccccc1,0.5,0.5,581.0
2,O=C(Cl)Cl,CC(C)(c1ccc(O)c(Cl)c1)c1ccc(O)c(Cl)c1,0.5,0.5,419.0
2,c1cc(N(CC2CO2)CC2CO2)ccc1Cc1ccc(N(CC2CO2)CC2CO2)cc1,N#CNC(=N)N,0.5,0.5,531.0
2,C=Cc1ccc(C)cc1C,C=Cc1ccc(C)cc1C,0.5,0.5,385.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Nc1ccccc1,0.5,0.5,358.0
2,C=c1ccc(=C)c(Cl)c1,C=c1ccc(=C)c(Cl)c1,0.5,0.5,353.0
2,Nc1cccc(N)c1,O=C1OC(=O)c2cc(Oc3ccc(-c4ccc(Oc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,0.5,0.5,520.0
2,C=Cc1ccc(OCCCC)cc1,C=Cc1ccc(OCCCC)cc1,0.5,0.5,320.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,NCCNCCNCCN,0.75,0.25,415.0
2,C=Cc1cc(C(C)(C)C)ccc1C,C=Cc1cc(C(C)(C)C)ccc1C,0.5,0.5,360.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC(C)(N)C1CCC(N)(N)CC1,0.75,0.25,429.5
2,C=Cc1ccc(C(=O)OC)cc1,C=Cc1ccc(C(=O)OC)cc1,0.5,0.5,386.0
2,C=C(Cl)C(=O)OC1CCCCC1,C=C(Cl)C(=O)OC1CCCCC1,0.5,0.5,387.0
2,C=CF,C=CF,0.5,0.5,233.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,0.666667,0.333333,445.0
2,C=C(C)C(=O)OC(C)C,C=C(C)C(=O)OC(C)C,0.5,0.5,327.0
